cumulated temperatures + heat flows
          time (s)             material     3       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.655200000000000E+06    0.557656705000633E+02   -0.140206274830298E+05    0.326625800875207E+05   -0.146787327313762E+05    0.326625790027000E+05
    0.658800000000000E+06    0.557796601285596E+02   -0.120597333944274E+05    0.325678953282997E+05   -0.130238034602344E+05    0.325678948769569E+05
    0.662400000000000E+06    0.557772204806292E+02   -0.173337743010021E+05    0.324680127539775E+05   -0.153611452986114E+05    0.324680127616096E+05
    0.666000000000000E+06    0.557898118314820E+02   -0.217877127205317E+05    0.323670150488788E+05   -0.230617670186311E+05    0.323670144686596E+05
    0.669600000000000E+06    0.558001025600108E+02   -0.189098616184447E+05    0.322656592053889E+05   -0.198518211473618E+05    0.322656579906029E+05
    0.673200000000000E+06    0.558109768058938E+02   -0.157347090711511E+05    0.321629299212068E+05   -0.165170272577456E+05    0.321629288770028E+05
    0.676800000000000E+06    0.558028358095824E+02    0.589853316021748E+06    0.321039193490844E+05    0.593579203596862E+06    0.321039193494558E+05
    0.680400000000000E+06    0.557953706333269E+02    0.206734994759050E+06    0.319931534120394E+05    0.199551076503701E+06    0.319931534009025E+05
    0.684000000000000E+06    0.557776442855119E+02   -0.904373881512214E+05    0.319083456434438E+05   -0.904918658009034E+05    0.319083456075706E+05
    0.687600000000000E+06    0.557493380287436E+02    0.266904553843799E+06    0.318711103384011E+05    0.262921802167983E+06    0.318711096009409E+05
    0.691200000000000E+06    0.557121527933388E+02    0.267242463347726E+06    0.319011773487263E+05    0.269419063510022E+06    0.319011780121174E+05
    0.694800000000000E+06    0.556779275687000E+02    0.240049844572944E+06    0.319888939352533E+05    0.240961975306301E+06    0.319888945338104E+05
    0.698400000000000E+06    0.556504538075915E+02   -0.105599145951484E+06    0.321308263837789E+05   -0.105486580360657E+06    0.321308258813898E+05
    0.702000000000000E+06    0.556378862118941E+02   -0.759004282302107E+05    0.323117986954105E+05   -0.760550768276028E+05    0.323117996223413E+05
    0.705600000000000E+06    0.556351653899706E+02   -0.510006275097399E+05    0.325094810109611E+05   -0.512992633433568E+05    0.325094822290143E+05
    0.709200000000000E+06    0.556311158258209E+02   -0.461020646235633E+05    0.327039502224185E+05   -0.461850607545164E+05    0.327039520492997E+05
    0.712800000000000E+06    0.556300121626033E+02   -0.448372314641809E+05    0.328820051563855E+05   -0.450152956922198E+05    0.328820069881243E+05
    0.716400000000000E+06    0.556285431638783E+02   -0.505840997122598E+05    0.330373093064451E+05   -0.507846825410290E+05    0.330373112485344E+05
