cumulated temperatures + heat flows
          time (s)             material     1           material     2       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.201600000000000E+06    0.272797205802431E+02    0.139043044655136E+02   -0.324698019543438E+05    0.252638122213133E+05   -0.324677704908460E+05    0.252616148717016E+05
    0.205200000000000E+06    0.272757893122211E+02    0.139029578546705E+02   -0.339163017470095E+05    0.252959018176196E+05   -0.339143293084284E+05    0.252934134640901E+05
    0.208800000000000E+06    0.272787357090813E+02    0.139030394903297E+02   -0.171287350056278E+05    0.252962105566815E+05   -0.171238292405551E+05    0.252963981688735E+05
    0.212400000000000E+06    0.273100012478121E+02    0.139100429615372E+02    0.523662331262942E+05    0.250889435167672E+05    0.526016812753703E+05    0.251030026053689E+05
    0.216000000000000E+06    0.273370743041800E+02    0.139192233850533E+02    0.416957178076405E+05    0.249160840984179E+05    0.408884349548805E+05    0.249208457997843E+05
    0.219600000000000E+06    0.273537731774554E+02    0.139268134024806E+02    0.148720821562286E+05    0.245291014954099E+05    0.147915240490462E+05    0.245301209346183E+05
    0.223200000000000E+06    0.273544438451642E+02    0.139299041954047E+02   -0.242958411883869E+05    0.243900921745776E+05   -0.241531200308602E+05    0.243905111447142E+05
    0.226800000000000E+06    0.273461493266215E+02    0.139290301445715E+02   -0.476031689754084E+05    0.243801887139132E+05   -0.473556023644054E+05    0.243801111839247E+05
    0.230400000000000E+06    0.273219565840435E+02    0.139231046815656E+02   -0.845930917089190E+05    0.245425877476800E+05   -0.840877490314936E+05    0.245418413848469E+05
    0.234000000000000E+06    0.272919504315320E+02    0.139137637873694E+02   -0.983242699204320E+05    0.248259507742112E+05   -0.978450678785056E+05    0.248248279486750E+05
    0.237600000000000E+06    0.272666125256420E+02    0.139041827863366E+02   -0.867631433488968E+05    0.251406895156336E+05   -0.864759912739912E+05    0.251395551079268E+05
    0.241200000000000E+06    0.272358333574086E+02    0.138935000606512E+02   -0.993399170435203E+05    0.254904940204773E+05   -0.988852788217661E+05    0.254891991194746E+05
    0.244800000000000E+06    0.272097048557684E+02    0.138833310866261E+02   -0.879749002478020E+05    0.258318669547550E+05   -0.876400443044864E+05    0.258307097637548E+05
    0.248400000000000E+06    0.271849500048624E+02    0.138735707848002E+02   -0.852266170270405E+05    0.260402227300650E+05   -0.849125360370084E+05    0.260359395457095E+05
    0.252000000000000E+06    0.271650621611804E+02    0.138654824542718E+02   -0.742100566881970E+05    0.264430204649405E+05   -0.741801491064197E+05    0.264268696021160E+05
    0.255600000000000E+06    0.271477854519909E+02    0.138584638225821E+02   -0.681762141627523E+05    0.266813105122109E+05   -0.681539121506395E+05    0.266675145073423E+05
    0.259200000000000E+06    0.271330637840381E+02    0.138524365448928E+02   -0.622098377111657E+05    0.268867113292288E+05   -0.621941022239907E+05    0.268750476543637E+05
    0.262800000000000E+06    0.271193950299072E+02    0.138470310664045E+02   -0.598728361911195E+05    0.270654387647464E+05   -0.598574515087135E+05    0.270552614911960E+05
    0.266400000000000E+06    0.271081197642990E+02    0.138424067407527E+02   -0.542202427795048E+05    0.272266737632005E+05   -0.542113041576304E+05    0.272179136149556E+05
    0.270000000000000E+06    0.270968729874605E+02    0.138380225803568E+02   -0.549180515764383E+05    0.273222290837274E+05   -0.544080309917362E+05    0.273191909887606E+05
    0.273600000000000E+06    0.270877383100554E+02    0.138343288026600E+02   -0.496935943717704E+05    0.274904239783557E+05   -0.495833987202954E+05    0.274900656389722E+05
    0.277200000000000E+06    0.270796083137737E+02    0.138310755912330E+02   -0.478491530728719E+05    0.275988933966478E+05   -0.477474864424502E+05    0.275985678290075E+05
    0.280800000000000E+06    0.270725178848701E+02    0.138282260051402E+02   -0.459294663506329E+05    0.276942698446601E+05   -0.450477059727808E+05    0.276893498578208E+05
    0.284400000000000E+06    0.270658257520311E+02    0.138256169853726E+02   -0.457902102836735E+05    0.277767801483637E+05   -0.457008579504820E+05    0.277765143145532E+05
    0.288000000000000E+06    0.270596905472995E+02    0.138232234383479E+02   -0.455586419852062E+05    0.278525828459101E+05   -0.447915179901398E+05    0.278486815565805E+05
    0.291600000000000E+06    0.270551964079097E+02    0.138213026496363E+02   -0.399837575015602E+05    0.279251409867774E+05   -0.396021772169456E+05    0.279217658105197E+05
    0.295200000000000E+06    0.270510501378842E+02    0.138196394282651E+02   -0.396998813900949E+05    0.279793588956950E+05   -0.392845116042401E+05    0.279766174235972E+05
    0.298800000000000E+06    0.270472440653972E+02    0.138181460299355E+02   -0.393512496171878E+05    0.280274303344388E+05   -0.389744228460429E+05    0.280250366160151E+05
    0.302400000000000E+06    0.270440281366164E+02    0.138168521923512E+02   -0.378097844950768E+05    0.280713300310161E+05   -0.375284428473185E+05    0.280692357295569E+05
    0.306000000000000E+06    0.270415435252856E+02    0.138158054659952E+02   -0.354962041541491E+05    0.281092542418178E+05   -0.352988808494019E+05    0.281075166206866E+05
    0.309600000000000E+06    0.270385395302100E+02    0.138147234206872E+02   -0.384528892767513E+05    0.281373708346162E+05   -0.381409962287567E+05    0.281358417294939E+05
    0.313200000000000E+06    0.270357698690051E+02    0.138136784135074E+02   -0.382426399301434E+05    0.281695015020684E+05   -0.380309401486531E+05    0.281679656835014E+05
    0.316800000000000E+06    0.270328766604802E+02    0.138126188891601E+02   -0.395401465564356E+05    0.281996010756700E+05   -0.393393990595374E+05    0.281980972673820E+05
    0.320400000000000E+06    0.270312693798973E+02    0.138118588994661E+02   -0.347142143099008E+05    0.282318726926801E+05   -0.347035540410031E+05    0.282305828232509E+05
    0.324000000000000E+06    0.270295717135127E+02    0.138111896878298E+02   -0.355378667584866E+05    0.282502144910075E+05   -0.354642598598255E+05    0.282492915378424E+05
    0.327600000000000E+06    0.270275415220280E+02    0.138104742111305E+02   -0.374434616308514E+05    0.282685658365603E+05   -0.373488971305200E+05    0.282676430775776E+05
    0.331200000000000E+06    0.270258708715396E+02    0.138098220060575E+02   -0.364274206388988E+05    0.282895948830965E+05   -0.364119133404289E+05    0.282886793429801E+05
    0.334800000000000E+06    0.270246957902388E+02    0.138093157687748E+02   -0.347256476735678E+05    0.283090482144082E+05   -0.347571997439880E+05    0.283082710082225E+05
    0.338400000000000E+06    0.270227341744419E+02    0.138086715142446E+02   -0.384569686161561E+05    0.283204960626672E+05   -0.383943647225565E+05    0.283197689341023E+05
    0.342000000000000E+06    0.270217227428937E+02    0.138081999314325E+02   -0.348611835461644E+05    0.283405399051227E+05   -0.349511893537392E+05    0.283398131461005E+05
    0.345600000000000E+06    0.270204400629016E+02    0.138077305969579E+02   -0.363057473875724E+05    0.283511894974350E+05   -0.363319057555502E+05    0.283506371172130E+05
    0.349200000000000E+06    0.270189107384717E+02    0.138072012002959E+02   -0.377179684967800E+05    0.283633854149265E+05   -0.377416882421752E+05    0.283627735107945E+05
    0.352800000000000E+06    0.270172335954526E+02    0.138066138467954E+02   -0.387696476684716E+05    0.283782381294450E+05   -0.388102257493466E+05    0.283775215155244E+05
    0.356400000000000E+06    0.270159558914797E+02    0.138061002314549E+02   -0.374915414395533E+05    0.283952498924266E+05   -0.375983067049628E+05    0.283945457860110E+05
    0.360000000000000E+06    0.270150185627158E+02    0.138056959459850E+02   -0.363596507616197E+05    0.284084957134617E+05   -0.364909978494172E+05    0.284079518644256E+05
    0.363600000000000E+06    0.270138694545031E+02    0.138052842503027E+02   -0.375215803964124E+05    0.284185601075799E+05   -0.376194579276921E+05    0.284180746062648E+05
    0.367200000000000E+06    0.270129382097145E+02    0.138049173031033E+02   -0.368870284298843E+05    0.284297032542796E+05   -0.370244727200999E+05    0.284292426978725E+05
    0.370800000000000E+06    0.270119439695027E+02    0.138045501901738E+02   -0.374046722353902E+05    0.284378959762343E+05   -0.375337022635866E+05    0.284374935064878E+05
    0.374400000000000E+06    0.270106146653793E+02    0.138041021103221E+02   -0.391121639928364E+05    0.284458117066944E+05   -0.392243834987234E+05    0.284453529601877E+05
    0.378000000000000E+06    0.270088410929688E+02    0.138035147165444E+02   -0.413785918810529E+05    0.284554931548028E+05   -0.414938225219845E+05    0.284548794580478E+05
    0.381600000000000E+06    0.270070260281379E+02    0.138028660406205E+02   -0.420287844422432E+05    0.284697054522240E+05   -0.422017959402751E+05    0.284689557004110E+05
    0.385200000000000E+06    0.270048812309746E+02    0.138021193632379E+02   -0.439232632609936E+05    0.284848489386807E+05   -0.441237631891075E+05    0.284839736724667E+05
    0.388800000000000E+06    0.270030545063607E+02    0.138014114877098E+02   -0.431246327292294E+05    0.285030925341551E+05   -0.434197201428667E+05    0.285022027395346E+05
    0.392400000000000E+06    0.270008979982128E+02    0.138006426936568E+02   -0.450105953211952E+05    0.285183434177393E+05   -0.453299384976442E+05    0.285174238867968E+05
    0.396000000000000E+06    0.269994618599771E+02    0.138000238331533E+02   -0.424936264050112E+05    0.285375939190870E+05   -0.429371208391731E+05    0.285367737481463E+05
    0.399600000000000E+06    0.269974409593065E+02    0.137993226832369E+02   -0.453541993983279E+05    0.285489724382234E+05   -0.457871430800835E+05    0.285481615287211E+05
    0.403200000000000E+06    0.269959472171221E+02    0.137987157889131E+02   -0.436303928473559E+05    0.285663034471541E+05   -0.441939770758992E+05    0.285655161337480E+05
    0.406800000000000E+06    0.269943103329097E+02    0.137981087353491E+02   -0.446160407628281E+05    0.285776062307083E+05   -0.452183006698469E+05    0.285768821066383E+05
    0.410400000000000E+06    0.269928019984797E+02    0.137975303074764E+02   -0.444836581399794E+05    0.285892174155283E+05   -0.451799260944796E+05    0.285885194931891E+05
