cumulated temperatures + heat flows
          time (s)             material     3       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.576000000000000E+06    0.556355134458256E+02   -0.941901327729353E+04    0.339557561726285E+05   -0.110015327910195E+05    0.339557549045388E+05
    0.579600000000000E+06    0.556472699158595E+02   -0.145985739620473E+05    0.339142982211072E+05   -0.157159612960850E+05    0.339143542746487E+05
    0.583200000000000E+06    0.556585407766219E+02   -0.150562645812035E+05    0.338493466480241E+05   -0.157916557252502E+05    0.338493453360014E+05
    0.586800000000000E+06    0.556672853974996E+02   -0.200559048337022E+05    0.337680206177768E+05   -0.197001322377707E+05    0.337662268964974E+05
    0.590400000000000E+06    0.556731833524361E+02   -0.256717904158853E+05    0.336774243962897E+05   -0.243088002941919E+05    0.336775085010495E+05
    0.594000000000000E+06    0.556768977958522E+02   -0.286712416391858E+05    0.335845732157270E+05   -0.280179586931285E+05    0.335845722530158E+05
    0.597600000000000E+06    0.556793832932661E+02   -0.313827943563429E+05    0.334948206258447E+05   -0.298161300385472E+05    0.334949043782379E+05
    0.601200000000000E+06    0.556827130462737E+02   -0.283761136669185E+05    0.334116493024498E+05   -0.285003137479491E+05    0.334098940537219E+05
    0.604800000000000E+06    0.556865811647259E+02   -0.261942247568298E+05    0.333357082141469E+05   -0.277222811415840E+05    0.333340326122617E+05
    0.608400000000000E+06    0.556905124411195E+02   -0.260739131637517E+05    0.332664231258244E+05   -0.274714608874903E+05    0.332648214752115E+05
    0.612000000000000E+06    0.556928882392521E+02   -0.303401886781213E+05    0.332030711925922E+05   -0.294706640353281E+05    0.332031376917762E+05
    0.615600000000000E+06    0.556963221286502E+02   -0.271957109579723E+05    0.331452529017151E+05   -0.280084429814726E+05    0.331453148981659E+05
    0.619200000000000E+06    0.557000555724641E+02   -0.265630956458470E+05    0.330916666023537E+05   -0.274547046856911E+05    0.330917256305821E+05
    0.622800000000000E+06    0.557038897231727E+02   -0.262570060812761E+05    0.330412168756222E+05   -0.269156310502247E+05    0.330412735890633E+05
    0.626400000000000E+06    0.557136056032045E+02   -0.158634715517594E+05    0.329909528865444E+05   -0.170289623792008E+05    0.329909523855861E+05
